CITY,CIRCLE,STD
ARVI,MAHARASHTRA  ,7157  
ARWAL,BIHAR & JHARKHAND  ,6337  
ASANSOL,WEST BENGAL & ANDAMAN NIKOBAR  ,341  
ASHOKNAGAR,MADHYA PRADESH & CHHATTISGARH  ,7543  
ASHTA,MADHYA PRADESH & CHHATTISGARH  ,7560  
ASHTI,MAHARASHTRA  ,2441  
ASIFABAD,ANDHRA PRADESH  ,8733  
ASIND,RAJASTHAN  ,1480  
ASKA,ORISSA  ,6822  
ASPUR,RAJASTHAN  ,2967  
ASSANDH,HARYANA  ,1749  
ASWARAOPET,ANDHRA PRADESH  ,8740  
ATHANI,KARNATAKA  ,8289  
ATHGARH,ORISSA  ,6723  
ATHMALLIK,ORISSA  ,6763  
ATMAKUR,ANDHRA PRADESH  ,8627  
ATMAKUR,ANDHRA PRADESH  ,8504  
ATMAKUR,ANDHRA PRADESH  ,8517  
ATNER,MADHYA PRADESH & CHHATTISGARH  ,7144  
ATPADI,MAHARASHTRA  ,2343  
ATRAULI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5723  
ATRU,RAJASTHAN  ,7451  
ATTABIRA,ORISSA  ,6682  
ATTINGAL,KERALA  ,470  
ATTUR,TAMILNADU  ,4282  
AURAD,KARNATAKA  ,8485  
AURAIYA,UTTAR PRADESH(EAST)  ,5683  
AURANGABAD,MAHARASHTRA  ,2432  
AURANGABAD,BIHAR & JHARKHAND  ,6186  
AUSA,MAHARASHTRA  ,2383  
AVANASHI,TAMILNADU  ,4296  
AZAMGARH,UTTAR PRADESH(EAST)  ,5462  
B.KOTHAKOTA,ANDHRA PRADESH  ,8582  
BABAICHICHLI,MADHYA PRADESH & CHHATTISGARH  ,7790  
BABERU,UTTAR PRADESH(EAST)  ,5190  
BABHULGAON,MAHARASHTRA  ,7203  
BABLESHWAR,KARNATAKA  ,8355  
BABRA,GUJRAT  ,2791  
BACHELI,MADHYA PRADESH & CHHATTISGARH  ,7857  
BADAGARA,KERALA  ,496  
BADAMALHERA,MADHYA PRADESH & CHHATTISGARH  ,7689  
BADAMI,KARNATAKA  ,8357  
BADARWAS,MADHYA PRADESH & CHHATTISGARH  ,7495  
BADAUN,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5832  
BADERAJPUR,MADHYA PRADESH & CHHATTISGARH  ,7849  
BADGAM,JAMMU & KASHMIR  ,1951  
BADNAGAR,MADHYA PRADESH & CHHATTISGARH  ,7367  
BADNAWAR,MADHYA PRADESH & CHHATTISGARH  ,7295  
BADVEL,ANDHRA PRADESH  ,8569  
BADWANI,MADHYA PRADESH & CHHATTISGARH  ,7290  
BAGAHA,BIHAR & JHARKHAND  ,6251  
BAGALKOT,KARNATAKA  ,8354  
BAGBAHERA,MADHYA PRADESH & CHHATTISGARH  ,7707  
BAGDIHI,ORISSA  ,6640  
BAGEPALLI,KARNATAKA  ,8150  
BAGESHWAR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5963  
BAGHMARA,NORTH EAST  ,3639  
BAGHPAT-II (BARAUT),UTTAR PRADESH(WEST) & UTTARAKHAND  ,1234  
BAGICHA,MADHYA PRADESH & CHHATTISGARH  ,7769  
BAGIDORA,RAJASTHAN  ,2968  
BAGLI,MADHYA PRADESH & CHHATTISGARH  ,7271  
BAGODAR,BIHAR & JHARKHAND  ,6557  
BAHADURGARH,HARYANA  ,1276  
BAHARAGORA,BIHAR & JHARKHAND  ,6594  
BAHERI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5822  
BAHRAICH-I (BAHRAILH),UTTAR PRADESH(EAST)  ,5252  
BAHRAICH-II (BHINGA),UTTAR PRADESH(EAST)  ,5250  
BAIHAR,MADHYA PRADESH & CHHATTISGARH  ,7636  
BAIKUNTHPUR,MADHYA PRADESH & CHHATTISGARH  ,7836  
BAILHONGAL,KARNATAKA  ,8288  
BAITHALANGSHU,ASSAM  ,3677  
BALACHAUR,PUNJAB  ,1885  
BALAGHAT,MADHYA PRADESH & CHHATTISGARH  ,7632  
BALANGIR,ORISSA  ,6652  
BALAPUR,MAHARASHTRA  ,7257  
BALARAMPUR-I (BALRAMPUR),UTTAR PRADESH(EAST)  ,5263  
BALARAMPUR-II (TULSIPUR),UTTAR PRADESH(EAST)  ,5264  
BALASINOR,GUJRAT  ,2690  
BALASORE,ORISSA  ,6782  
BALDEOGARH,MADHYA PRADESH & CHHATTISGARH  ,7684  
BALDI,MADHYA PRADESH & CHHATTISGARH  ,7326  
BALI (N)  (SUMERPUR),RAJASTHAN  ,2933  
BALI (S),RAJASTHAN  ,2938  
BALIGUDA,ORISSA  ,6846  
BALLIA-I (BALLIA),UTTAR PRADESH(EAST)  ,5498  
BALLIA-II (RANIGANJ),UTTAR PRADESH(EAST)  ,5496  
BALOD,MADHYA PRADESH & CHHATTISGARH  ,7749  
BALODABAZAR,MADHYA PRADESH & CHHATTISGARH  ,7727  
BALRAMPUR,MADHYA PRADESH & CHHATTISGARH  ,7831  
BALUGAON,ORISSA  ,6756  
BALUMATH,BIHAR & JHARKHAND  ,6568  
BALURGHAT,WEST BENGAL & ANDAMAN NIKOBAR  ,3522  
BAMANWAS,RAJASTHAN  ,7467  
BAMENG,NORTH EAST  ,3785  
BAMORI,MADHYA PRADESH & CHHATTISGARH  ,7540  
BANAGANAPALLE,ANDHRA PRADESH  ,8515  
BANAIGARH,ORISSA  ,6626  
BANDA,MADHYA PRADESH & CHHATTISGARH  ,7583  
BANDA,UTTAR PRADESH(EAST)  ,5192  
BANDAR (MACHILIPATNAM),ANDHRA PRADESH  ,8672  
BANDHAVGARH,MADHYA PRADESH & CHHATTISGARH  ,7653  
BANDIPUR,JAMMU & KASHMIR  ,1957  
BANERA,RAJASTHAN  ,1487  
BANGALORE,KARNATAKA  ,80  
BANGARPET,KARNATAKA  ,8153  
BANGARUPALEM,ANDHRA PRADESH  ,8573  
BANGIRIPOSI,ORISSA  ,6791  
BANJAR,HIMACHAL PRADESH  ,1903  
BANKA,BIHAR & JHARKHAND  ,6424  
BANKURA,WEST BENGAL & ANDAMAN NIKOBAR  ,3242  
BANMANKHI,BIHAR & JHARKHAND  ,6467  
BANSADA,GUJRAT  ,2630  
BANSDEEH,UTTAR PRADESH(EAST)  ,5494  
BANSGAON -I (BANSGAON),UTTAR PRADESH(EAST)  ,5525  
BANSGAON-II (BARHAL GANJ),UTTAR PRADESH(EAST)  ,5521  
BANSI,UTTAR PRADESH(EAST)  ,5545  
BANSUR,RAJASTHAN  ,1461  
BANSWADA,ANDHRA PRADESH  ,8466  
BANSWARA,RAJASTHAN  ,2962  
BANTWAL,KARNATAKA  ,8255  
BAPATLA,ANDHRA PRADESH  ,8643  
BARABANKI,UTTAR PRADESH(EAST)  ,5248  
BARACHAKIA,BIHAR & JHARKHAND  ,6257  
BARAMA,ASSAM  ,3623  
BARAMATI,MAHARASHTRA  ,2112  
BARAMULLA,JAMMU & KASHMIR  ,1952  
BARAN,RAJASTHAN  ,7453  
BARARA,HARYANA  ,1731  
BARAUNI,BIHAR & JHARKHAND  ,6279  
BARBIL,ORISSA  ,6767  
BARDOLI,GUJRAT  ,2622  
BAREILLY,UTTAR PRADESH(WEST) & UTTARAKHAND  ,581  
BAREJA,GUJRAT  ,2718  
BARELI,MADHYA PRADESH & CHHATTISGARH  ,7486  
BARGARH,ORISSA  ,6646  
BARH,BIHAR & JHARKHAND  ,6132  
BARHI,BIHAR & JHARKHAND  ,6543  
BARI,RAJASTHAN  ,5647  
BARIPADA,ORISSA  ,6792  
BARISADRI,RAJASTHAN  ,1473  
BARKAGAON,BIHAR & JHARKHAND  ,6551  
BARKOT,ORISSA  ,6643  
BARMER (E) (GUDDA),RAJASTHAN  ,2983  
BARMER (N) (KANOT),RAJASTHAN  ,2902  
BARMER (S) SINDARI,RAJASTHAN  ,2984  
BARMER (SW) (DHORIMANNA),RAJASTHAN  ,2986  
BARMER (W) (RAMSAR),RAJASTHAN  ,2985  
BARMER(C),RAJASTHAN  ,2982  
BARNALA,PUNJAB  ,1679  
BARODA,MADHYA PRADESH & CHHATTISGARH  ,7531  
BARPALLI,MADHYA PRADESH & CHHATTISGARH  ,7813  
BARPETA ROAD,ASSAM  ,3666  
BARSHI TAKLI,MAHARASHTRA  ,7255  
BARSI,MAHARASHTRA  ,2184  
BARSOI,BIHAR & JHARKHAND  ,6451  
BARWADIH,BIHAR & JHARKHAND  ,6567  
BARWAHA,MADHYA PRADESH & CHHATTISGARH  ,7280  
BARWALA,GUJRAT  ,2711  
BARWALA,HARYANA  ,1693  
BASANA,MADHYA PRADESH & CHHATTISGARH  ,7724  
BASAR,NORTH EAST  ,3795  
BASAVAKALYAN,KARNATAKA  ,8481  
BASAVANABAGEWADI,KARNATAKA  ,8358  
BASAVAPATNA,KARNATAKA  ,8180  
BASERI,RAJASTHAN  ,5646  
BASHOLI,JAMMU & KASHMIR  ,1921  
BASIA,BIHAR & JHARKHAND  ,6533  
BASIRHAT,WEST BENGAL & ANDAMAN NIKOBAR  ,3217  
BASMATNAGAR,MAHARASHTRA  ,2454  
BASSEIN,MAHARASHTRA  ,250  
BASSI,RAJASTHAN  ,1429  
BASTA,ORISSA  ,6781  
BASTANAR,MADHYA PRADESH & CHHATTISGARH  ,7862  
BASTI,UTTAR PRADESH(EAST)  ,5542  
BASWA (BANDIKUI),RAJASTHAN  ,1420  
BATALA,PUNJAB  ,1871  
BATKAKHAPA,MADHYA PRADESH & CHHATTISGARH  ,7169  
BATLAGUNDU,TAMILNADU  ,4543  
BAWAL,HARYANA  ,1284  
BAWANIKHERA,HARYANA  ,1254  
BAYAD,GUJRAT  ,2779  
BAYANA,RAJASTHAN  ,5648  
BEAWAR,RAJASTHAN  ,1462  
BEDARWAH,JAMMU & KASHMIR  ,1997  
BEGAMGANJ,MADHYA PRADESH & CHHATTISGARH  ,7487  
BEGUN(N),RAJASTHAN  ,1474  
BEGUN(S) (RAWATBHATA),RAJASTHAN  ,1475  
BEGUSARAI,BIHAR & JHARKHAND  ,6243  
BEHROR,RAJASTHAN  ,1494  
BELGAUM,KARNATAKA  ,831  
BELLAMPALLI,ANDHRA PRADESH  ,8735  
BELLARY,KARNATAKA  ,8392  
BELONIA,NORTH EAST  ,3823  
BELTHANGADY,KARNATAKA  ,8256  
BELUR,KARNATAKA  ,8177  
BEMETARA,MADHYA PRADESH & CHHATTISGARH  ,7824  
BENIPATTI,BIHAR & JHARKHAND  ,6271  
BENIPUR,BIHAR & JHARKHAND  ,6242  
