CITY,CIRCLE,STD
CHANDERI,MADHYA PRADESH & CHHATTISGARH  ,7547  
CHANDGAD,MAHARASHTRA  ,2320  
CHANDIGARH,PUNJAB  ,172  
CHANDIL,BIHAR & JHARKHAND  ,6591  
CHANDIPARA,MADHYA PRADESH & CHHATTISGARH  ,7818  
CHANDOOR,ANDHRA PRADESH  ,8681  
CHANDRAPUR,MAHARASHTRA  ,7172  
CHANDURBAZAR,MAHARASHTRA  ,7227  
CHANDURRLY,MAHARASHTRA  ,7222  
CHANGLANG,NORTH EAST  ,3808  
CHANNAGIRI,KARNATAKA  ,8189  
CHANNAPATNA,KARNATAKA  ,8113  
CHANWAD,MAHARASHTRA  ,2556  
CHAPRA,BIHAR & JHARKHAND  ,6152  
CHARKHARI,UTTAR PRADESH(EAST)  ,5283  
CHARKHIDADRI,HARYANA  ,1250  
CHATRA,BIHAR & JHARKHAND  ,6541  
CHAURAI,MADHYA PRADESH & CHHATTISGARH  ,7166  
CHAVITIDIBBALU,ANDHRA PRADESH  ,8863  
CHAVPARAN,BIHAR & JHARKHAND  ,6547  
CHEEKA,HARYANA  ,1743  
CHEJERLA,ANDHRA PRADESH  ,8628  
CHENGALPATTU,TAMILNADU  ,4114  
CHENGAM,TAMILNADU  ,4188  
CHENNAI,TAMILNADU  ,44  
CHEPURUPALLI (GARIVIDI),ANDHRA PRADESH  ,8952  
CHERIAL,ANDHRA PRADESH  ,8710  
CHERRAPUNJEE,NORTH EAST  ,3637  
CHETLAT,KERALA  ,4899  
CHEVELLA,ANDHRA PRADESH  ,8417  
CHHABRA,RAJASTHAN  ,7452  
CHHAPARA,MADHYA PRADESH & CHHATTISGARH  ,7691  
CHHATA (KOSIKALAN),UTTAR PRADESH(WEST) & UTTARAKHAND  ,5662  
CHHATARPUR,MADHYA PRADESH & CHHATTISGARH  ,7682  
CHHATRAPUR,ORISSA  ,6811  
CHHENDIPADA,ORISSA  ,6761  
CHHIBRAMAU,UTTAR PRADESH(EAST)  ,5691  
CHHIKALDARA,MAHARASHTRA  ,7220  
CHHINDWARA,MADHYA PRADESH & CHHATTISGARH  ,7162  
CHHIPABORAD,RAJASTHAN  ,7454  
CHHOTA UDAIPUR,GUJRAT  ,2669  
CHHURIAKALA,MADHYA PRADESH & CHHATTISGARH  ,7745  
CHICHOLI,MADHYA PRADESH & CHHATTISGARH  ,7145  
CHIDAMBARAM,TAMILNADU  ,4144  
CHIKHALI,MAHARASHTRA  ,7264  
CHIKKABALLAPUR,KARNATAKA  ,8156  
CHIKKANAYAKANAHALLI,KARNATAKA  ,8133  
CHIKKODI,KARNATAKA  ,8338  
CHIKMAGALUR,KARNATAKA  ,8262  
CHINCHOLI,KARNATAKA  ,8475  
CHINCHWAD,MAHARASHTRA  ,212  
CHINGAMUT,MADHYA PRADESH & CHHATTISGARH  ,7863  
CHINGMUT,MADHYA PRADESH & CHHATTISGARH  ,7855  
CHINNOR,ANDHRA PRADESH  ,8737  
CHINTALAPUDI,ANDHRA PRADESH  ,8823  
CHINTAMANI,KARNATAKA  ,8154  
CHINTAPALLE,ANDHRA PRADESH  ,8937  
CHIPLUN,MAHARASHTRA  ,2355  
CHIRALA,ANDHRA PRADESH  ,8594  
CHIRAWA,RAJASTHAN  ,1596  
CHIRGAON (MOTH),UTTAR PRADESH(EAST)  ,5170  
CHITRADURGA,KARNATAKA  ,8194  
CHITRANGI,MADHYA PRADESH & CHHATTISGARH  ,7806  
CHITTAPUR,KARNATAKA  ,8474  
CHITTOOR,ANDHRA PRADESH  ,8572  
CHITTORGARH,RAJASTHAN  ,1472  
CHODAVARAM,ANDHRA PRADESH  ,8934  
CHOHTAN (N),RAJASTHAN  ,2989  
CHOHTAN (S) (GANGASAR),RAJASTHAN  ,2903  
CHOPDA,MAHARASHTRA  ,2586  
CHOTILA,GUJRAT  ,2751  
CHOWKHEM,NORTH EAST  ,3806  
CHUIKHADAN,MADHYA PRADESH & CHHATTISGARH  ,7743  
CHUMUR,MAHARASHTRA  ,7170  
CHUNUR,UTTAR PRADESH(EAST)  ,5443  
CHURAH (TISSA),HIMACHAL PRADESH  ,1896  
CHURCHANDPUR,NORTH EAST  ,3874  
CHURHAT,MADHYA PRADESH & CHHATTISGARH  ,7802  
CHURU,RAJASTHAN  ,1562  
COIMBATORE,TAMILNADU  ,422  
CONTAI,WEST BENGAL & ANDAMAN NIKOBAR  ,3220  
COOCHBEHAR,WEST BENGAL & ANDAMAN NIKOBAR  ,3582  
COWDAHALLI,KARNATAKA  ,8225  
CUDDALORE,TAMILNADU  ,4142  
CUDDAPAH,ANDHRA PRADESH  ,8562  
CUMBUM,ANDHRA PRADESH  ,8406  
CUMBUM,TAMILNADU  ,4554  
CUTTACK,ORISSA  ,671  
DABHARA,MADHYA PRADESH & CHHATTISGARH  ,7758  
DABHOI,GUJRAT  ,2663  
DABRA,MADHYA PRADESH & CHHATTISGARH  ,7524  
DABWALI,HARYANA  ,1668  
DADENGIRI (PHULBARI),NORTH EAST  ,3650  
DAHANU,MAHARASHTRA  ,2528  
DAHOD,GUJRAT  ,2673  
DALKHOLA,WEST BENGAL & ANDAMAN NIKOBAR  ,3525  
DALLIRAJHARA,MADHYA PRADESH & CHHATTISGARH  ,7748  
DALMAU-I (DALMAU),UTTAR PRADESH(EAST)  ,5317  
DALMAU-II (LALGANJ),UTTAR PRADESH(EAST)  ,5315  
DALSINGHSARAI,BIHAR & JHARKHAND  ,6278  
DALTONGANJ,BIHAR & JHARKHAND  ,6562  
DAMNAGAR,GUJRAT  ,2793  
DAMOH,MADHYA PRADESH & CHHATTISGARH  ,7638  
DAMOH,MADHYA PRADESH & CHHATTISGARH  ,7812  
DANAPUR,BIHAR & JHARKHAND  ,6115  
DANTA,GUJRAT  ,2749  
DANTAN,WEST BENGAL & ANDAMAN NIKOBAR  ,3229  
DANTARAMGARH (E) (SHYAMJI),RAJASTHAN  ,1576  
DANTARAMGARH (W),RAJASTHAN  ,1577  
DANTEWADA,MADHYA PRADESH & CHHATTISGARH  ,7856  
DAPOLI,MAHARASHTRA  ,2358  
DAPORIZO,NORTH EAST  ,3792  
DARBHANGA,BIHAR & JHARKHAND  ,6272  
DARINGBADI,ORISSA  ,6849  
DARJEELING,WEST BENGAL & ANDAMAN NIKOBAR  ,354  
DARSI,ANDHRA PRADESH  ,8407  
DARWAHA,MAHARASHTRA  ,7238  
DARYAPUR,MAHARASHTRA  ,7224  
DASADA,GUJRAT  ,2757  
DASPALLA,ORISSA  ,6757  
DASUA,PUNJAB  ,1883  
DATAGANJ,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5831  
DATIA,MADHYA PRADESH & CHHATTISGARH  ,7522  
DAUDNAGAR,BIHAR & JHARKHAND  ,6328  
DAUND,MAHARASHTRA  ,2117  
DAUSA,RAJASTHAN  ,1427  
DAVANGERE,KARNATAKA  ,8192  
DEBAI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5734  
DEDIAPADA,GUJRAT  ,2649  
DEEDWANA,RAJASTHAN  ,1580  
DEEG,RAJASTHAN  ,5641  
DEESA,GUJRAT  ,2744  
DEGANA,RAJASTHAN  ,1587  
DEGLOOR,MAHARASHTRA  ,2463  
DEHGAM,GUJRAT  ,2716  
DEHRA GOPIPUR,HIMACHAL PRADESH  ,1970  
DEHRADUN,UTTAR PRADESH(WEST) & UTTARAKHAND  ,135  
DELHI TANDA,MAHARASHTRA  ,2460  
DEMAGIRI,NORTH EAST  ,3834  
DENKANIKOITAH,TAMILNADU  ,4347  
DEOBAND,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1336  
DEOBHOG,MADHYA PRADESH & CHHATTISGARH  ,7704  
DEODAR,GUJRAT  ,2735  
DEODGARH,ORISSA  ,6641  
DEODURGA,KARNATAKA  ,8531  
DEOGAD,MAHARASHTRA  ,2364  
DEOGARH,RAJASTHAN  ,2904  
DEOGHAR,BIHAR & JHARKHAND  ,6432  
DEOLGAONRAJA,MAHARASHTRA  ,7261  
DEOLI,RAJASTHAN  ,1434  
DEOLI,MAHARASHTRA  ,7158  
DEOPRAYAG-I,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1378  
DEOPRAYAG-II (JAKHOLI),UTTAR PRADESH(WEST) & UTTARAKHAND  ,1370  
DEORI,MAHARASHTRA  ,7199  
DEORI,MADHYA PRADESH & CHHATTISGARH  ,7586  
DEORIA,UTTAR PRADESH(EAST)  ,5568  
DEOSAR,MADHYA PRADESH & CHHATTISGARH  ,7801  
DEPALPUR,MADHYA PRADESH & CHHATTISGARH  ,7322  
DERAPUR (JHINJAK),UTTAR PRADESH(EAST)  ,5114  
DESAIGANJ,MAHARASHTRA  ,7137  
DESURI (RANI),RAJASTHAN  ,2934  
DEVAKOTTAI,TAMILNADU  ,4561  
DEVARAHIPPARGI,KARNATAKA  ,8424  
DEVARAKONDA,ANDHRA PRADESH  ,8691  
DEVGADHBARIA,GUJRAT  ,2678  
DEWAS,MADHYA PRADESH & CHHATTISGARH  ,7272  
DHADGAON,MAHARASHTRA  ,2595  
DHAKA,BIHAR & JHARKHAND  ,6250  
DHAKUAKHANA,ASSAM  ,3758  
DHAMDA,MADHYA PRADESH & CHHATTISGARH  ,7821  
DHAMDAHA,BIHAR & JHARKHAND  ,6462  
DHAMPUR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1344  
DHAMTARI,MADHYA PRADESH & CHHATTISGARH  ,7722  
DHANBAD,BIHAR & JHARKHAND  ,326  
DHANDHUKA,GUJRAT  ,2713  
DHANERA,GUJRAT  ,2748  
DHANIAKHALI,WEST BENGAL & ANDAMAN NIKOBAR  ,3213  
DHANMANDAL,ORISSA  ,6725  
DHANORA,MAHARASHTRA  ,7138  
DHAR,MADHYA PRADESH & CHHATTISGARH  ,7292  
DHARAM NAGAR,NORTH EAST  ,3822  
DHARAMGARH,ORISSA  ,6672  
DHARAMJAIGARH,MADHYA PRADESH & CHHATTISGARH  ,7766  
DHARAMPUR,GUJRAT  ,2633  
DHARAMPURAM,TAMILNADU  ,4258  
DHARAMPURI,MADHYA PRADESH & CHHATTISGARH  ,7294  
DHARANI,MAHARASHTRA  ,7226  
DHARCHULA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5967  
DHARI,GUJRAT  ,2797  
DHARIAWAD,RAJASTHAN  ,2950  
DHARMAPURI,TAMILNADU  ,4342  
DHARMAVARAM,ANDHRA PRADESH  ,8559  
DHEMAJI,ASSAM  ,3753  
DHENKANAL,ORISSA  ,6762  
DHIWADI,MAHARASHTRA  ,2165  
DHOLKA,GUJRAT  ,2714  
DHOLPUR,RAJASTHAN  ,5642  
DHORAJI,GUJRAT  ,2824  
DHRANGADHRA,GUJRAT  ,2754  
DHROL,GUJRAT  ,2897  
DHUBRI,ASSAM  ,3662  
DHULE,MAHARASHTRA  ,2562  
DHULIYAN,WEST BENGAL & ANDAMAN NIKOBAR  ,3485  
DIAMOND HARBOUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3174  
DIBRUGARH,ASSAM  ,373  
DICHPALLI,ANDHRA PRADESH  ,8461  
DIGAPAHANDI,ORISSA  ,6814  
DIGBOI,ASSAM  ,3751  
DIGOD (SULTANPUR),RAJASTHAN  ,7455  
DIGRAS,MAHARASHTRA  ,7234  
DIMAPUR,NORTH EAST  ,3862  
DINANAGAR,PUNJAB  ,1875  
DINDIGUL,TAMILNADU  ,451  
DINDORI,MADHYA PRADESH & CHHATTISGARH  ,7644  
DINDORI,MAHARASHTRA  ,2557  
DINHATA,WEST BENGAL & ANDAMAN NIKOBAR  ,3581  
DIPHU,ASSAM  ,3671  
DIRANG,NORTH EAST  ,3780  
DIVI (CHALLAPALLI),ANDHRA PRADESH  ,8671  
DODA,JAMMU & KASHMIR  ,1996  
DODDABALLAPUR,KARNATAKA  ,8119  
DOMARIYAGANJ,UTTAR PRADESH(EAST)  ,5541  
DONAKONDA,ANDHRA PRADESH  ,8408  
DONGARGARH,MADHYA PRADESH & CHHATTISGARH  ,7823  
DRONACHALAM,ANDHRA PRADESH  ,8516  
DUDHI-I (DUDHI),UTTAR PRADESH(EAST)  ,5447  
DUDHI-II (PIPRI),UTTAR PRADESH(EAST)  ,5446  
DUDU,RAJASTHAN  ,1428  
DUMKA,BIHAR & JHARKHAND  ,6434  
DUMRAON,BIHAR & JHARKHAND  ,6323  
DUMRI(ISRIBAZAR),BIHAR & JHARKHAND  ,6558  
DUNDA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1371  
DUNGARPUR,RAJASTHAN  ,2964  
DUNGLA,RAJASTHAN  ,1470  
DUNGURIPALI,ORISSA  ,6653  
DURG,MADHYA PRADESH & CHHATTISGARH  ,788  
DURGAKONDAL,MADHYA PRADESH & CHHATTISGARH  ,7843  
DURGAPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,343  
EDALABAD,MAHARASHTRA  ,2583  
EKMA,BIHAR & JHARKHAND  ,6155  
ELLENABAD,HARYANA  ,1698  
ELURU,ANDHRA PRADESH  ,8812  
ERANDUL,MAHARASHTRA  ,2588  
ERNAKULAM,KERALA  ,484  
ERODE,TAMILNADU  ,424  
ETAH,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5742  
ETAPALLI,MAHARASHTRA  ,7136  
ETAWAH,UTTAR PRADESH(EAST)  ,5688  
ETURNAGARAM,ANDHRA PRADESH  ,8717  
FAIZABAD,UTTAR PRADESH(EAST)  ,5278  
FARIDABAD,HARYANA  ,129  
FARIDAKOT,PUNJAB  ,1639  
FARRUKHABAD (FATEGARH),UTTAR PRADESH(EAST)  ,5692  
FATEH-PUR-I (FATEHPUR),UTTAR PRADESH(EAST)  ,5180  
FATEHABAD,HARYANA  ,1667  
FATEHPUR,UTTAR PRADESH(EAST)  ,5240  
FATEHPUR,RAJASTHAN  ,1571  
FATEHPUR-II (GAZIPUR),UTTAR PRADESH(EAST)  ,5183  
FAZILKA,PUNJAB  ,1638  
FEROJPUR,HARYANA  ,1268  
FEROZABAD,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5612  
FEROZEPUR,PUNJAB  ,1632  
FORBESGANJ,BIHAR & JHARKHAND  ,6455  
FORTSONGADH,GUJRAT  ,2624  
G.UDAYAGIRI,ORISSA  ,6847  
GADAG,KARNATAKA  ,8372  
GADARWARA,MADHYA PRADESH & CHHATTISGARH  ,7791  
GADCHIROLI,MAHARASHTRA  ,7132  
GADHADA,GUJRAT  ,2847  
GADHINGLAJ,MAHARASHTRA  ,2327  
GADWAL,ANDHRA PRADESH  ,8546  
GAGANBAVADA,MAHARASHTRA  ,2326  
GAIRATGANJ,MADHYA PRADESH & CHHATTISGARH  ,7481  
GAJAPATHINAGARAM,ANDHRA PRADESH  ,8965  
GAJWEL,ANDHRA PRADESH  ,8454  
GANDHI NAGAR,GUJRAT  ,2712  
GANGAJALGHATI,WEST BENGAL & ANDAMAN NIKOBAR  ,3241  
GANGAKHED,MAHARASHTRA  ,2453  
GANGAPUR,MAHARASHTRA  ,2433  
GANGAPUR,RAJASTHAN  ,7463  
GANGARAMPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3521  
GANGAVATHI,KARNATAKA  ,8533  
GANGDHAR,RAJASTHAN  ,7435  
GANGTOK,WEST BENGAL & ANDAMAN NIKOBAR  ,3592  
GANJBASODA,MADHYA PRADESH & CHHATTISGARH  ,7594  
GARAUTH,UTTAR PRADESH(EAST)  ,5171  
GARHASHANKER,PUNJAB  ,1884  
GARHMUKTESHWAR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5731  
GARHWA,BIHAR & JHARKHAND  ,6561  
GARIABAND,MADHYA PRADESH & CHHATTISGARH  ,7706  
GARIADHAR,GUJRAT  ,2843  
GARLADINNE,ANDHRA PRADESH  ,8551  
GAROTH,MADHYA PRADESH & CHHATTISGARH  ,7425  
GARPA,MADHYA PRADESH & CHHATTISGARH  ,7846  
GARU,BIHAR & JHARKHAND  ,6569  
GAUZING (NAYABAZAR),WEST BENGAL & ANDAMAN NIKOBAR  ,3595  
GAYA,BIHAR & JHARKHAND  ,631  
GERHI (PARTAPUR),RAJASTHAN  ,2963  
GEVRAI,MAHARASHTRA  ,2447  
GHAGHRA,BIHAR & JHARKHAND  ,6523  
GHANSOUR,MADHYA PRADESH & CHHATTISGARH  ,7693  
GHARAUNDA,HARYANA  ,1748  
GHARGHODA,MADHYA PRADESH & CHHATTISGARH  ,7767  
GHATAL,WEST BENGAL & ANDAMAN NIKOBAR  ,3225  
GHATAMPUR,UTTAR PRADESH(EAST)  ,5115  
GHATANJI,MAHARASHTRA  ,7230  
GHATGAON,ORISSA  ,6733  
GHATIA,MADHYA PRADESH & CHHATTISGARH  ,7368  
GHATIGAON,MADHYA PRADESH & CHHATTISGARH  ,7526  
GHATOL,RAJASTHAN  ,2961  
GHATSILA,BIHAR & JHARKHAND  ,6585  
GHAZIABAD+DADRI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,120  
GHAZIPUR,UTTAR PRADESH(EAST)  ,548  
GHORANDOGRI,MADHYA PRADESH & CHHATTISGARH  ,7146  
GHOSI,UTTAR PRADESH(EAST)  ,5461  
GHUGHARI,MADHYA PRADESH & CHHATTISGARH  ,7647  
GIDDALUR,ANDHRA PRADESH  ,8405  
GINGEE,TAMILNADU  ,4145  
GIRIDIH,BIHAR & JHARKHAND  ,6532  
GIRWA (UDAIPUR),RAJASTHAN  ,294  
GOALPARA,ASSAM  ,3663  
GOBICHETTIPALAYAM,TAMILNADU  ,4285  
GODDA,BIHAR & JHARKHAND  ,6422  
GODHRA,GUJRAT  ,2672  
GOGAON,MADHYA PRADESH & CHHATTISGARH  ,7287  
GOGODAR,GUJRAT  ,2806  
GOGRI,BIHAR & JHARKHAND  ,6245  
GOGUNDA,MADHYA PRADESH & CHHATTISGARH  ,7865  
GOGUNDA,RAJASTHAN  ,2956  
GOHAD,MADHYA PRADESH & CHHATTISGARH  ,7539  
GOHANA,HARYANA  ,1263  
GOHARGANJ,MADHYA PRADESH & CHHATTISGARH  ,7480  
GOHPUR,ASSAM  ,3715  
GOINDWAL,PUNJAB  ,1859  
GOKAK,KARNATAKA  ,8332  
GOLAGHAT,ASSAM  ,3774  
GOLEGAON,MAHARASHTRA  ,2439  
GOMIA,BIHAR & JHARKHAND  ,6544  
GOND PIPRI,MAHARASHTRA  ,7171  
GONDA,UTTAR PRADESH(EAST)  ,5262  
GONDAL,GUJRAT  ,2825  
GONDIA,MAHARASHTRA  ,7182  
GOOTY (GUNTAKAL),ANDHRA PRADESH  ,8552  
GOPALGANJ,MADHYA PRADESH & CHHATTISGARH  ,7695  
GOPALGANJ,BIHAR & JHARKHAND  ,6156  
GORAKHPUR,UTTAR PRADESH(EAST)  ,551  
GOREGAON,MAHARASHTRA  ,7187  
GOTEGAON,MADHYA PRADESH & CHHATTISGARH  ,7794  
GOURIHAR,MADHYA PRADESH & CHHATTISGARH  ,7688  
GOVINDPUR,BIHAR & JHARKHAND  ,6540  
GOWRIBIDANUR,KARNATAKA  ,8155  
GUBBI,KARNATAKA  ,8131  
GUDALUR,TAMILNADU  ,4262  
GUDARI,ORISSA  ,6862  
GUDIVADA,ANDHRA PRADESH  ,8674  
GUDIYATHAM,TAMILNADU  ,4171  
GUDUR,ANDHRA PRADESH  ,8624  
GUDUR (KODUMUR),ANDHRA PRADESH  ,8525  
GUHAGAR,MAHARASHTRA  ,2359  
GULBARGA,KARNATAKA  ,8472  
GUMLA,BIHAR & JHARKHAND  ,6524  
GUNA,MADHYA PRADESH & CHHATTISGARH  ,7542  
GUNDLUPET,KARNATAKA  ,8229  
GUNNAUR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5836  
GUNNORE,MADHYA PRADESH & CHHATTISGARH  ,7731  
GUNTUR,ANDHRA PRADESH  ,863  
GUNUPUR,ORISSA  ,6857  
GURDASPUR,PUNJAB  ,1874  
GURGAON,HARYANA  ,124  
GURUHARSAHAI,PUNJAB  ,1685  
GUSKARA,WEST BENGAL & ANDAMAN NIKOBAR  ,3452  
GUWAHATI,ASSAM  ,361  
GWALIOR,MADHYA PRADESH & CHHATTISGARH  ,751  
GYRASPUR,MADHYA PRADESH & CHHATTISGARH  ,7596  
H.B.HALLI,KARNATAKA  ,8397  
H.D.KOTE,KARNATAKA  ,8228  
H.KHARAGPUR,BIHAR & JHARKHAND  ,6342  
HABRA,WEST BENGAL & ANDAMAN NIKOBAR  ,3216  
HADGAON,MAHARASHTRA  ,2468  
HAFLONG,ASSAM  ,3673  
HAIDERGARH,UTTAR PRADESH(EAST)  ,5244  
HAILAKANDI,ASSAM  ,3844  
HAJIPUR,BIHAR & JHARKHAND  ,6224  
HAJO,ASSAM  ,3664  
HALDIA,WEST BENGAL & ANDAMAN NIKOBAR  ,3224  
HALDWANI-I,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5946  
HALDWANI-II (CHORGALIAN),UTTAR PRADESH(WEST) & UTTARAKHAND  ,5945  
HALIYAL,KARNATAKA  ,8284  
HALOL,GUJRAT  ,2676  
HALVAD,GUJRAT  ,2758  
HAMIRPUR,UTTAR PRADESH(EAST)  ,5282  
HAMIRPUR,HIMACHAL PRADESH  ,1972  
HANGAL,KARNATAKA  ,8379  
HANSI,HARYANA  ,1663  
HANUMANA,MADHYA PRADESH & CHHATTISGARH  ,7664  
HANUMANGARH,RAJASTHAN  ,1552  
HAPUR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,122  
HARAPANAHALLI,KARNATAKA  ,8398  
HARDA,MADHYA PRADESH & CHHATTISGARH  ,7577  
HARDOI-I (HARDOI),UTTAR PRADESH(EAST)  ,5852  
HARDOI-II (BAGHAVLI),UTTAR PRADESH(EAST)  ,5850  
HARIJ,GUJRAT  ,2733  
HARIRAMPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3524  
HARISHCHANDRAPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3513  
HARRAI,MADHYA PRADESH & CHHATTISGARH  ,7168  
HARRAIYA,UTTAR PRADESH(EAST)  ,5546  
HARSUD,MADHYA PRADESH & CHHATTISGARH  ,7327  
HARUR,TAMILNADU  ,4346  
HASANGANJ,UTTAR PRADESH(EAST)  ,5143  
HASANPUR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5924  
HASSAN,KARNATAKA  ,8172  
HATHRAS,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5722  
HATHUA,BIHAR & JHARKHAND  ,6150  
HATKANGALE (ICHALKARANJI),MAHARASHTRA  ,2324  
HATTA,MADHYA PRADESH & CHHATTISGARH  ,7604  
HAVERI,KARNATAKA  ,8375  
HAYULIANG,NORTH EAST  ,3805  
HAZARIBAGH,BIHAR & JHARKHAND  ,6546  
HAZURNAGAR,ANDHRA PRADESH  ,8683  
HEBRI,KARNATAKA  ,8253  
HEMGIRI,ORISSA  ,6621  
HILSA,BIHAR & JHARKHAND  ,6111  
HIMATNAGAR,GUJRAT  ,2772  
HINDAUN,RAJASTHAN  ,7469  
HINDOL,ORISSA  ,6732  
HINDOLI,RAJASTHAN  ,7436  
HINDUPUR,ANDHRA PRADESH  ,8556  
HINGANGHAT,MAHARASHTRA  ,7153  
HINGOLI,MAHARASHTRA  ,2456  
HINGUA,MAHARASHTRA  ,7104  
HIREKERUR,KARNATAKA  ,8376  
HIRIYUR,KARNATAKA  ,8193  
HISSAR,HARYANA  ,1662  
HOJAI,ASSAM  ,3674  
HOLALKERE,KARNATAKA  ,8191  
HOLENARASIPUR,KARNATAKA  ,8175  
HONNALI,KARNATAKA  ,8188  
HONNAVAR,KARNATAKA  ,8387  
HOSADURGA,KARNATAKA  ,8199  
HOSAKOTE,KARNATAKA  ,8111  
HOSANAGARA,KARNATAKA  ,8185  
HOSHANGABAD,MADHYA PRADESH & CHHATTISGARH  ,7574  
HOSHIARPUR,PUNJAB  ,1882  
HOSPET,KARNATAKA  ,8394  
HOSUR,TAMILNADU  ,4344  
HOWRAGHAT,ASSAM  ,3676  
HUBLI,KARNATAKA  ,836  
HUKKERI (SANKESHWAR),KARNATAKA  ,8333  
HUMNABAD,KARNATAKA  ,8483  
HUNGUND,KARNATAKA  ,8351  
HUNSAGI,KARNATAKA  ,8444  
HUNSUR,KARNATAKA  ,8222  
HUNTERGANJ,BIHAR & JHARKHAND  ,6550  
HURDA (GULABPURA),RAJASTHAN  ,1483  
HURI,NORTH EAST  ,3789  
HUSNABAD,ANDHRA PRADESH  ,8721  
HUVINAHADAGALI,KARNATAKA  ,8399  
HUZURABAD,ANDHRA PRADESH  ,8727  
HYDERABAD LOC,ANDHRA PRADESH  ,40  
HYDERABADEAST (GHATKESWAR),ANDHRA PRADESH  ,8415  
HYDERABADWEST (SHAMSHABAD),ANDHRA PRADESH  ,8413  
IBRAHIMPATNAM,ANDHRA PRADESH  ,8414  
ICHAK,BIHAR & JHARKHAND  ,6548  
ICHHAWAR,MADHYA PRADESH & CHHATTISGARH  ,7561  
IDAR,GUJRAT  ,2778  
IGATPURI,MAHARASHTRA  ,2553  
ILAMIDI,MADHYA PRADESH & CHHATTISGARH  ,7854  
IMAMGANJ,BIHAR & JHARKHAND  ,6331  
IMPHAL,NORTH EAST  ,385  
INDAPUR,MAHARASHTRA  ,2111  
INDI,KARNATAKA  ,8359  
INDORE,MADHYA PRADESH & CHHATTISGARH  ,731  
IRINJALAKUDA,KERALA  ,480  
ISAGARH,MADHYA PRADESH & CHHATTISGARH  ,7541  
ISLAMPUR,MAHARASHTRA  ,2342  
ISLAMPUR (M),WEST BENGAL & ANDAMAN NIKOBAR  ,3481  
ISLAMPUR (ND),WEST BENGAL & ANDAMAN NIKOBAR  ,3526  
ITANAGAR,NORTH EAST  ,360  
ITARSI,MADHYA PRADESH & CHHATTISGARH  ,7572  
ITKI,BIHAR & JHARKHAND  ,6529  
JABALPUR,MADHYA PRADESH & CHHATTISGARH  ,761  
JABERA,MADHYA PRADESH & CHHATTISGARH  ,7606  
JAGADHARI,HARYANA  ,1732  
JAGALUR,KARNATAKA  ,8196  
JAGARNATHPUR,BIHAR & JHARKHAND  ,6588  
JAGATBALLAVPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3214  
JAGATSINGHPUR,ORISSA  ,6724  
JAGDALPUR,MADHYA PRADESH & CHHATTISGARH  ,7782  
JAGGAYYAPET,ANDHRA PRADESH  ,8654  
JAGRAON,PUNJAB  ,1624  
JAGTIAL,ANDHRA PRADESH  ,8724  
JAHANABAD,BIHAR & JHARKHAND  ,6114  
JAHAZPUR,RAJASTHAN  ,1485  
JAINAGAR,BIHAR & JHARKHAND  ,6246  
JAIPUR,RAJASTHAN  ,141  
JAIRAMPUR,NORTH EAST  ,3800  
JAISALMER-1 (RAMGARH),RAJASTHAN  ,2991  
JAISALMER-10 (KHURI),RAJASTHAN  ,3014  
JAISALMER-11 (JAISALMER),RAJASTHAN  ,2992  
JAISALMER-12 (DEVIKOT),RAJASTHAN  ,2993  
JAISALMER-13 (MYAJLAR),RAJASTHAN  ,3015  
JAISALMER-14 (JHEENJANIYALI),RAJASTHAN  ,3016  
JAISALMER-2 (SADHNA),RAJASTHAN  ,3018  
JAISALMER-3 (NEHDAI),RAJASTHAN  ,2999  
JAISALMER-4 (SHAHGARH),RAJASTHAN  ,3010  
JAISALMER-5 (KHUIYALS),RAJASTHAN  ,2998  
JAISALMER-6 (PASEWAR),RAJASTHAN  ,3011  
JAISALMER-7 (MOHARGARH),RAJASTHAN  ,2997  
JAISALMER-8 (MEHSANA),RAJASTHAN  ,3012  
JAISALMER-9 (DHANAUA),RAJASTHAN  ,3013  
JAISINGHNAGAR,MADHYA PRADESH & CHHATTISGARH  ,7651  
JAITARAN,RAJASTHAN  ,2939  
JAITHARI,MADHYA PRADESH & CHHATTISGARH  ,7659  
